"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"AA_REPICK_MENU_PICK_GOD"							"CHANGE HERO"
		"AA_REPICK_MENU_ALREADY_PICKED"						"HERO ALREADY PICKED"
		"AA_REPICK_MENU_NO_SHARD"							"NO MATCHED SHARD"
		"AA_REPICK_MENU_DUEL_SOON"							"DUEL WILL BE SOON"
		"midteleport_distance" "Too far"
		"midteleport_cd" "Reload..."

		"PN_KillLimit"										"The victory will be credited to the team that first collects a sufficient number of kills (indicated under the timer), and then wins the duel."
		"PN_HowToPlay"										"How to play"
		"PN_farm_text"										"The spawn locations of neutral creeps are marked on the minimap. The difficulty of the creeps varies, you can find it by paying attention to the icons on the minimap. Some creeps can be too strong, farm carefully!"
		"PN_Boss_header"									"Boss"
		"PN_boss_text"										"There are several bosses on the map, which can be found by the Roshan icon. For killing them, you can get gold, experience and Boss Soul needed to upgrade items."
		
		"aa_on_win_dire_message" 								"VICTORY! IN THE NAME OF THE SATAN!"
        "aa_on_win_radiant_message"                             "VICTORY! FOR THE GLORY OF THE LIGHT"
        "increaseon_game_name"									"Angel Arena New Rising"
        "addon_game_name"										"Angel Arena New Rising"
        "addon_name_t"											"Angel Arena"
        "DOTA_GAMEMODE_15"										"Angel Arena"
        "DOTA_GoodGuys"											"Angels"
        "DOTA_BadGuys"											"Fallens"

        "ANGEL_ARENA_ON_KILL"									"%s1 get <font color='#FFFF00'>%s2</font> bounty gold for kill!"
		"ANGEL_ARENA_ON_ASSIST"									"%s1 get <font color='#FFFF00'>%s2</font> bounty gold for assist!"

        "game_ends_on_time"										"Game ends at {s:time}"

		"duel_nobody_wins" 										"Duel ends in {s:time}"
		"duel_next_duel" 										"Next duel in {s:time}"
		"duel_start"											"Duel begins!"
		"duel_end"												"Duel has ended."
		"duel_min"												"Duel will begin in a minute"
		"duel_20"												"Duel will begin in a 20 seconds"
		"duel_error"											"<font color='#FF1111'>[DUEL]</font> Not enough players."
		"duel_nobody" 											"<font color='#FF1111'>[DUEL]</font> Time over! DRAW! Nobody won."
		"duel_end_win_radiant"									"The angels triumph over the fallens"
		"duel_end_win_demons"									"The fallens triumph over the angels"

		"game_ends_on_30_sec"									"Game ends in 30sec.!"

		"aa_last_duel_coming"									"Next duel will be decisive "

        "angel_arena_kill_limit_click"							"We need to do %s kills for the victory, but enemy needs %s kills for the victory!"

        "on_boss_die_miniboss"									"Someone kill the <font color='#58ACFA'>Tormentor</font>!"

		
        "DOTA_Tooltip_modifier_stuck_count" 					"Death count" 
        "DOTA_Tooltip_modifier_stuck_count_Description"			"It is bear, not a cobold, believe me"

        "boss_possessed_demon"								"Possessed Demon"
        "on_boss_die_possessed"								"<font color='#58ACFA'>Possessed Demon</font> was killed."

        "npc_aa_abyss_warrior"								"Abyss Warrior"
        "on_boss_die_abyss_warrior"							"<font color='#58ACFA'>Abyss Warrior</font> was killed."

        "npc_aa_soul_guardian"								"Soul Guardian"
        "on_boss_die_soul_guardian"							"<font color='#58ACFA'>Soul Guardian</font> was killed."


		"DOTA_Tooltip_ability_item_edible_gem"             					"Edible Gem of True Sight"
		"DOTA_Tooltip_ability_item_edible_gem_Description"  				"Provides True Sight effect"

		"DOTA_Tooltip_modifier_modifier_edible_gem_aura"					"True Sight"
		"Dota_tooltip_modifier_edible_gem_aura"		        				"Edible Gem"

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_6"								"Tome of Intellect (+10)"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_INT_6_Description"					"Permanently increases your hero's Intelligence by 10."

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_6"								"Tome of Agility(+10)"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_AGI_6_Description"					"Permanently increases your hero's Agility by 10."

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_6"								"Tome of Strength (+10)"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_STR_6_Description"					"Permanently increases your hero's Strength by 10."

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_UN_6"								"Tome of Gods (+10)"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_UN_6_Description"					"Permanently increases your hero's Strength, Agility, and Intelligence by 6."

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_MED"								"Medical Tractate"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_MED_Description"					"Permanently increases your hero's Health by 500 and mana by 250."

		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_LVLUP"								"Tome of Heroes"
		"DOTA_TOOLTIP_ABILITY_ITEM_TOME_LVLUP_Description"					"Increases your hero's level by 1."

		"npc_aa_bulding_shrine_radiant"										"Shrine"
		"npc_aa_bulding_shrine_dire"										"Shrine"

		"DOTA_Tooltip_ability_ability_shrine_restore"						"Restoration"
		"DOTA_Tooltip_ability_ability_shrine_restore_Description"			"Restorating health and mana to nearby allies"
		"DOTA_Tooltip_ability_ability_shrine_restore_aura_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_ability_shrine_restore_health_regen_const"	"HEALTH RESTORE:"
		"DOTA_Tooltip_ability_ability_shrine_restore_mana_regen_const"		"MANA RESTORE:"
		"DOTA_Tooltip_ability_ability_shrine_restore_health_regen_pct"		"%HEALTH RESTORE:"
		"DOTA_Tooltip_ability_ability_shrine_restore_mana_regen_pct"		"%MANA RESTORE:"

		"DOTA_Tooltip_modifier_ability_shrine_restore_effect"				"Restoration"
		"DOTA_Tooltip_modifier_ability_shrine_restore_effect_Description"	"Health and mana are restoring"

        "DOTA_Tooltip_Ability_soul_guardian_heroes_ring"							"Rallying Field"
		"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_Description"				"Soul Guardian create field in %circle_creation_time% seconds. After delay in %detanation_delay% seconds deal damage to all heroes inside field. Damage depends on hero units inside field( less heroes - more damage )"
		"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_circle_radius"				"RADIUS:"
		"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_base_damage"				"BASE DAMAGE:"
		"DOTA_Tooltip_Ability_soul_guardian_heroes_ring_damage_reduction_per_hero"	"DAMAGE DECRASE PER HERO:"

        "DOTA_Tooltip_Ability_soul_guardian_heavy_strike"							"Heavy Strike"
		"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_Description"				"Stuns main attack target, push away and slow another units around target."
		"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_circle_knockback_radius"	"PUSH RADIUS:"
		"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_stun"				"STUN DURATION:"
		"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_duration_slow"				"SLOW DURATION:"
		"DOTA_Tooltip_Ability_soul_guardian_heavy_strike_knockback_slow_pct"		"%SLOW:"

        "DOTA_Tooltip_modifier_soul_guardian_heavy_strike_stun"						"Stunned"
        "DOTA_Tooltip_modifier_soul_guardian_heavy_strike_slow"						"Slowed"

		"DOTA_Tooltip_Ability_soul_guardian_pure_heal"								"Pure Heal"
		"DOTA_Tooltip_Ability_soul_guardian_pure_heal_Description"					"Soul Guardian heal himself and dispels negative effects."
		"DOTA_Tooltip_Ability_soul_guardian_pure_heal_base_heal"					"BASE HEAL:"
		"DOTA_Tooltip_Ability_soul_guardian_pure_heal_heal_pct_from_max_hp"			"%HEAL FROM MAX HP:"

		"DOTA_Tooltip_Ability_soul_guardian_damage_steal"							"Weakness of Heroes"
		"DOTA_Tooltip_Ability_soul_guardian_damage_steal_Description"				"For a %duration% seconds decrasing damage of all around heroes."
		"DOTA_Tooltip_Ability_soul_guardian_damage_steal_radius"					"RADIUS:"
		"DOTA_Tooltip_Ability_soul_guardian_damage_steal_delay_for_start"			"START DELAY:"
		"DOTA_Tooltip_Ability_soul_guardian_damage_steal_damage_per_second_tootip"	"DAMAGE DECREASING:"
		"DOTA_Tooltip_Ability_soul_guardian_damage_steal_debuff_duration"			"DURATION:"

		"DOTA_Tooltip_modifier_soul_guardian_damage_steal"							"Weakness of Heroes"
		"DOTA_Tooltip_modifier_soul_guardian_damage_steal_Description"				"Damage decreased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% ."

		"DOTA_Tooltip_Ability_soul_guardian_holy_rage"								"Holy Rage"
		"DOTA_Tooltip_Ability_soul_guardian_holy_rage_Description"					"Soul Guardian fall in holy rage, increasing him attack speed and status resistance. Effect is purged after %max_duration% seconds. or after reciving  damage (%damage_for_purge_base% + %damage_for_purge_pct_from_max_hp%%  from max health)."
		"DOTA_Tooltip_Ability_soul_guardian_holy_status_resist_pct"					"STATUS RESIST:"
